"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","address","city","zipcode","state","tweet","text","score"
"@HarveyLevinTMZ ""Why not shoot for the top to prove a concept? .asked 2 people #hillaryclinton &amp; @realDonaldTrump - she said no he said yes""",FALSE,0,"HarveyLevinTMZ",2016-11-18 13:31:32,FALSE,NA,"799605964701859840","36098990","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SURGDissection",0,FALSE,FALSE,"-87.38864579","30.32483106","11600 Gulf Beach Hwy Pensacola FL 32507"," Pensacola",32507,"FL","@HarveyLevinTMZ ""Why not shoot for the top to prove a concept? .asked 2 people #hillaryclinton &amp; @realDonaldTrump - she said no he said yes""","@HarveyLevinTMZ ""Why not shoot for the top to prove a concept? .asked 2 people #hillaryclinton &amp; @realDonaldTrump - she said no he said yes""",0
"So, @realDonaldTrump is lying AGAIN!  Ford NEVER had plans to move Lincoln MKC prod to Mexico!",FALSE,0,NA,2016-11-18 03:24:18,FALSE,NA,"799453148595109888",NA,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial© PRO</a>","VictoriaInPhx",0,FALSE,FALSE,"-112.0524343","33.4806781","1350 E Thomas Rd Phoenix AZ 85014"," Phoenix",85014,"AZ","So, @realDonaldTrump is lying AGAIN!  Ford NEVER had plans to move Lincoln MKC prod to Mexico!","So, @realDonaldTrump is lying AGAIN!  Ford NEVER had plans to move Lincoln MKC prod to Mexico!",-1
"@scotthaas27 @realDonaldTrump Ford said it never affected jobs anyway. Still moving Production of focus to Mexico.",FALSE,0,"scotthaas27",2016-11-18 15:54:56,FALSE,"799433961080504321","799642053298847744","105304569","<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>","KiMarsha49",0,FALSE,FALSE,"-95.9673","35.6169","410 E 12th St Okmulgee OK 74447"," Okmulgee",74447,"OK","@scotthaas27 @realDonaldTrump Ford said it never affected jobs anyway. Still moving Production of focus to Mexico.","@scotthaas27 @realDonaldTrump Ford said it never affected jobs anyway. Still moving Production of focus to Mexico.",1
"Don't tweet anything crazy @realDonaldTrump...The <ed><U+00A0><U+00BC><ed><U+00BC><U+008E> is <ed><U+00A0><U+00BD><ed><U+00B1><U+0080> U now...",FALSE,0,NA,2016-11-18 15:49:46,FALSE,NA,"799640752129187840",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>","JWooTV",0,FALSE,FALSE,"-89.9904","34.9833","8425 Airways Blvd Southaven MS 38671"," Southaven",38671,"MS","Don't tweet anything crazy @realDonaldTrump...The <ed><U+00A0><U+00BC><ed><U+00BC><U+008E> is <ed><U+00A0><U+00BD><ed><U+00B1><U+0080> U now...","Don't tweet anything crazy @realDonaldTrump...The <ed><U+00A0><U+00BC><ed><U+00BC><U+008E> is <ed><U+00A0><U+00BD><ed><U+00B1><U+0080> U now...",-1
"I got my @realdonaldtrump socks in today that I ordered for when I run stjude Memphis Marathon… https://t.co/uFpZarkAFg",FALSE,0,NA,2016-11-18 02:17:14,FALSE,NA,"799436269273026560",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","BlaineAdair",0,FALSE,FALSE,"-87.6946","34.7597","362-564 E 2nd St Sheffield AL 35660"," Sheffield",35660,"AL","I got my @realdonaldtrump socks in today that I ordered for when I run stjude Memphis Marathon… https://t.co/uFpZarkAFg","I got my @realdonaldtrump socks in today that I ordered for when I run stjude Memphis Marathon… https://t.co/uFpZarkAFg",1
"How @SpeakerRyan handles infrastructure will go long way in determining whether/how @realDonaldTrump reshapes Republican Party.",FALSE,0,NA,2016-11-18 18:59:23,FALSE,NA,"799688471396892672",NA,"<a href=""http://www.handmark.com"" rel=""nofollow"">TweetCaster for iOS</a>","BillBarrowAP",1,FALSE,FALSE,"-84.349563","33.76014","Moreland Avenue Southbound Ramp Atlanta GA 30307"," Atlanta",30307,"GA","How @SpeakerRyan handles infrastructure will go long way in determining whether/how @realDonaldTrump reshapes Republican Party.","How @SpeakerRyan handles infrastructure will go long way in determining whether/how @realDonaldTrump reshapes Republican Party.",0
"Among the fascinating things to watch in '17: How a von Mises @SpeakerRyan handles a Keynesian @realDonaldTrump &amp; his infrastructure ideas.",FALSE,0,NA,2016-11-18 18:57:25,FALSE,NA,"799687974250283008",NA,"<a href=""http://www.handmark.com"" rel=""nofollow"">TweetCaster for iOS</a>","BillBarrowAP",2,FALSE,FALSE,"-84.349563","33.76014","Moreland Avenue Southbound Ramp Atlanta GA 30307"," Atlanta",30307,"GA","Among the fascinating things to watch in '17: How a von Mises @SpeakerRyan handles a Keynesian @realDonaldTrump &amp; his infrastructure ideas.","Among the fascinating things to watch in '17: How a von Mises @SpeakerRyan handles a Keynesian @realDonaldTrump &amp; his infrastructure ideas.",1
"@scotthaas27 @realDonaldTrump Ford said it never affected jobs anyway. Still moving Production of focus to Mexico.",FALSE,0,"scotthaas27",2016-11-18 15:54:56,FALSE,"799433961080504321","799642053298847744","105304569","<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>","KiMarsha49",0,FALSE,FALSE,"-95.9673","35.6169","410 E 12th St Okmulgee OK 74447"," Okmulgee",74447,"OK","@scotthaas27 @realDonaldTrump Ford said it never affected jobs anyway. Still moving Production of focus to Mexico.","@scotthaas27 @realDonaldTrump Ford said it never affected jobs anyway. Still moving Production of focus to Mexico.",1
"@scotthaas27 @realDonaldTrump Ford said it never affected jobs anyway. Still moving Production of focus to Mexico.",FALSE,0,"scotthaas27",2016-11-18 15:54:56,FALSE,"799433961080504321","799642053298847744","105304569","<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>","KiMarsha49",0,FALSE,FALSE,"-95.9673","35.6169","410 E 12th St Okmulgee OK 74447"," Okmulgee",74447,"OK","@scotthaas27 @realDonaldTrump Ford said it never affected jobs anyway. Still moving Production of focus to Mexico.","@scotthaas27 @realDonaldTrump Ford said it never affected jobs anyway. Still moving Production of focus to Mexico.",1
"I blame @realdonaldtrump for my #caseofthemondays. CURSES! *shakes fists to the sky* MOTHER OF… https://t.co/Mnf5lgJiWc",FALSE,1,NA,2016-11-14 15:07:43,FALSE,NA,"798180617301200898",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","MikeTheJanitor",0,FALSE,FALSE,"-112.29780687","40.56083325","1641 N Main St Tooele UT 84074"," Tooele",84074,"UT","I blame @realdonaldtrump for my #caseofthemondays. CURSES! *shakes fists to the sky* MOTHER OF… https://t.co/Mnf5lgJiWc","I blame @realdonaldtrump for my #caseofthemondays. CURSES! *shakes fists to the sky* MOTHER OF… https://t.co/Mnf5lgJiWc",-2
"How @SpeakerRyan handles infrastructure will go long way in determining whether/how @realDonaldTrump reshapes Republican Party.",FALSE,0,NA,2016-11-18 18:59:23,FALSE,NA,"799688471396892672",NA,"<a href=""http://www.handmark.com"" rel=""nofollow"">TweetCaster for iOS</a>","BillBarrowAP",1,FALSE,FALSE,"-84.349563","33.76014","Moreland Avenue Southbound Ramp Atlanta GA 30307"," Atlanta",30307,"GA","How @SpeakerRyan handles infrastructure will go long way in determining whether/how @realDonaldTrump reshapes Republican Party.","How @SpeakerRyan handles infrastructure will go long way in determining whether/how @realDonaldTrump reshapes Republican Party.",0
"Among the fascinating things to watch in '17: How a von Mises @SpeakerRyan handles a Keynesian @realDonaldTrump &amp; his infrastructure ideas.",FALSE,0,NA,2016-11-18 18:57:25,FALSE,NA,"799687974250283008",NA,"<a href=""http://www.handmark.com"" rel=""nofollow"">TweetCaster for iOS</a>","BillBarrowAP",2,FALSE,FALSE,"-84.349563","33.76014","Moreland Avenue Southbound Ramp Atlanta GA 30307"," Atlanta",30307,"GA","Among the fascinating things to watch in '17: How a von Mises @SpeakerRyan handles a Keynesian @realDonaldTrump &amp; his infrastructure ideas.","Among the fascinating things to watch in '17: How a von Mises @SpeakerRyan handles a Keynesian @realDonaldTrump &amp; his infrastructure ideas.",1
"Don't tweet anything crazy @realDonaldTrump...The <ed><U+00A0><U+00BC><ed><U+00BC><U+008E> is <ed><U+00A0><U+00BD><ed><U+00B1><U+0080> U now...",FALSE,0,NA,2016-11-18 15:49:46,FALSE,NA,"799640752129187840",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>","JWooTV",0,FALSE,FALSE,"-89.9904","34.9833","8425 Airways Blvd Southaven MS 38671"," Southaven",38671,"MS","Don't tweet anything crazy @realDonaldTrump...The <ed><U+00A0><U+00BC><ed><U+00BC><U+008E> is <ed><U+00A0><U+00BD><ed><U+00B1><U+0080> U now...","Don't tweet anything crazy @realDonaldTrump...The <ed><U+00A0><U+00BC><ed><U+00BC><U+008E> is <ed><U+00A0><U+00BD><ed><U+00B1><U+0080> U now...",-1
"enjoying last year before @realDonaldTrump forces @Starbucks to put #merrychristmas on their… https://t.co/u9f1c91df5",FALSE,0,NA,2016-11-18 13:06:07,FALSE,NA,"799599567100641280",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","RScottReedy",0,FALSE,FALSE,"-84.53671","38.25975","701 Cherry Blossom Way Georgetown KY 40324"," Georgetown",40324,"KY","enjoying last year before @realDonaldTrump forces @Starbucks to put #merrychristmas on their… https://t.co/u9f1c91df5","enjoying last year before @realDonaldTrump forces @Starbucks to put #merrychristmas on their… https://t.co/u9f1c91df5",1
"@realDonaldTrump mr. President elect, please look at putting technical training centers in inner cities. We can train anyone or career.",FALSE,0,"realDonaldTrump",2016-11-14 15:21:55,FALSE,NA,"798184189740728320","25073877","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MarvinLinville2",0,FALSE,FALSE,"-116.51232644","43.89759647","2270 Ua Ave Emmett ID 83617"," Emmett",83617,"ID","@realDonaldTrump mr. President elect, please look at putting technical training centers in inner cities. We can train anyone or career.","@realDonaldTrump mr. President elect, please look at putting technical training centers in inner cities. We can train anyone or career.",0
"@realDonaldTrump screw @MittRomney, he's just another asshat politician, make me secretary of state!",FALSE,0,"realDonaldTrump",2016-11-18 16:53:48,FALSE,NA,"799656868289200128","25073877","<a href=""http://www.samruston.co.uk"" rel=""nofollow"">Flamingo for Android</a>","hakarune",0,FALSE,FALSE,"-122.54","45.62","101 204 SE Park Plaza Dr Vancouver"," 204 SE Park Plaza Dr",NA,"Va","@realDonaldTrump screw @MittRomney, he's just another asshat politician, make me secretary of state!","@realDonaldTrump screw @MittRomney, he's just another asshat politician, make me secretary of state!",1
"Based on policy and his cabinet asking non #Trumpers to give @realDonaldTrump a ""chance"" is absolutely rediculess.  #Aftermath #TRUMP",FALSE,0,NA,2016-11-18 16:48:38,FALSE,NA,"799655565152555008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TheSimonRyan",0,FALSE,FALSE,"-122.684906","45.520102","1221 SW Yamhill St Portland OR 97205"," Portland",97205,"OR","Based on policy and his cabinet asking non #Trumpers to give @realDonaldTrump a ""chance"" is absolutely rediculess.  #Aftermath #TRUMP","Based on policy and his cabinet asking non #Trumpers to give @realDonaldTrump a ""chance"" is absolutely rediculess.  #Aftermath #TRUMP",1
