text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,score
RT @politico: .@realDonaldTrump is trying to steady the rocky transition https://t.co/CgqL5qpPEA | Getty https://t.co/gNp2gykTYc,FALSE,0,NA,11/18/2016 1:43,FALSE,NA,7.99428E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",cakes_laila,7,TRUE,FALSE,NA,NA,0
RT @mitchellreports: .@BernieSanders telling me today he will cooperate with @realDonaldTrump on minimum wage infrastructure trade fighting…,FALSE,0,NA,11/18/2016 1:43,FALSE,NA,7.99428E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",emjay1967,14,TRUE,FALSE,NA,NA,0
RT @PT_US_Congress: On @MSNBC calling on @realDonaldTrump to reject hate strategies &amp; #AbandonBannon. Bannon shouldn't be allowed w/in… htt…,FALSE,0,NA,11/18/2016 1:43,FALSE,NA,7.99428E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jambie61,1,TRUE,FALSE,NA,NA,-2
.@newt says he won't be in cabinet as @realDonaldTrump looks beyond @MayorRGiuliani to @MittRomney as possible @SecState,FALSE,10,NA,11/18/2016 1:43,FALSE,NA,7.99428E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",mitchellreports,5,FALSE,FALSE,NA,NA,0
"@emsprater1 @SenSchumer Millions of us will. Irony; hate monger @realdonaldtrump will unite the nation(Jews, Muslims,Christians) against him",FALSE,1,emsprater1,11/18/2016 1:42,FALSE,7.99427E+17,7.99428E+17,7.03974E+17,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",fotoeffex,0,FALSE,FALSE,NA,NA,-2
@realDonaldTrump maybe that is totally normal for a Peotus? I have no idea. @DavidPriess? You know?,FALSE,0,DelWilber,11/18/2016 1:42,FALSE,7.99427E+17,7.99428E+17,20114089,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",DelWilber,0,FALSE,FALSE,NA,NA,0
RT @politico: .@realDonaldTrump is trying to steady the rocky transition https://t.co/CgqL5qpPEA | Getty https://t.co/gNp2gykTYc,FALSE,0,NA,11/18/2016 1:42,FALSE,NA,7.99428E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",SheaDiamond,7,TRUE,FALSE,NA,NA,0
"RT @NFIB: What can #smallbiz expect for #taxes from @realDonaldTrump?

https://t.co/9ibq4YnA48",FALSE,0,NA,11/18/2016 1:42,FALSE,NA,7.99428E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",onehandedpotter,21,TRUE,FALSE,NA,NA,1
"RT @FAFPAC: @FoxNewsInsider @TuckerCarlson @realDonaldTrump Really hold your guest feet to the fire when they try to BS answer
https://t.co…",FALSE,0,NA,11/18/2016 1:42,FALSE,NA,7.99428E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Abruzziman,1,TRUE,FALSE,NA,NA,-1
Now @JoeBiden says voters for @realDonaldTrump aren't racist because they voted for Obama? So I guess they're just sexist then? #sayitaintso,FALSE,2,NA,11/18/2016 1:42,FALSE,NA,7.99428E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Lori_Garver,0,FALSE,FALSE,NA,NA,0
RT @WapoCat: @BernieSanders: @realDonaldTrump already breaking campaign promise to '#draintheswamp' https://t.co/xbQmz8dvTi #feelthebern,FALSE,0,NA,11/18/2016 1:42,FALSE,NA,7.99427E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",GLKLiberal,1040,TRUE,FALSE,NA,NA,0
RT @mitchellreports: .@BernieSanders telling me today he will cooperate with @realDonaldTrump on minimum wage infrastructure trade fighting…,FALSE,0,NA,11/18/2016 1:42,FALSE,NA,7.99427E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",mavislou59,14,TRUE,FALSE,NA,NA,0
RT @WapoCat: @BernieSanders: @realDonaldTrump already breaking campaign promise to '#draintheswamp' https://t.co/xbQmz8dvTi #feelthebern,FALSE,0,NA,11/18/2016 1:42,FALSE,NA,7.99427E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",SawinskiJerry,1040,TRUE,FALSE,NA,NA,0
