"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"#TheApprentice @realDonaldTrump #tooeasy https://t.co/Uhsq7jBFwV",FALSE,0,NA,2016-11-14 03:02:38,FALSE,NA,"797998144340389888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jeffcdi",0,FALSE,FALSE,NA,NA
"@Numerologynow @realDonaldTrump Are you really surprised?  This DOG is all BARK and no BITE.",FALSE,1,"Numerologynow",2016-11-14 03:01:24,FALSE,"797995306042261508","797997836470104064","41012342","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","thewonderof777",0,FALSE,FALSE,NA,NA
"Retweet if you <U+2764><U+FE0F> @realDonaldTrump. A whole hour interview of @60Minutes with @LesleyRStahl starts @CBS NOW.… https://t.co/Xv3DcOKcma",FALSE,0,NA,2016-11-14 03:00:02,TRUE,NA,"797997490108829696",NA,"<a href=""http://dashboard.twitter.com"" rel=""nofollow"">Twitter Dashboard for iPhone</a>","littlekev811",0,FALSE,FALSE,NA,NA
"@realDonaldTrump My family and I voted for you President Trump. We're so glad hildabeast and obummer are out. Lead the way to greatness sir",FALSE,0,"realDonaldTrump",2016-11-14 02:57:34,FALSE,"797873313561198593","797996870156959744","25073877","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SMasters00",0,FALSE,FALSE,NA,NA
"Did any one really expect him to behave differently than how he ran the campaign? #DealWithIt

@DavidCornDC @AbuJafar51 @realDonaldTrump",FALSE,2,"DavidCornDC",2016-11-14 02:51:14,FALSE,"797978459779674112","797995277743366144","15220768","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SayNo2Fear",3,FALSE,FALSE,NA,NA
"@CBSNews @LesleyRStahl @realDonaldTrump When a guy who says to his base, Stop it, is a guy talking to a 2 yr old. That's his only comment",FALSE,1,"CBSNews",2016-11-14 02:49:16,FALSE,"797972530472460288","797994782341464065","15012486","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","trustthetruth16",0,FALSE,FALSE,NA,NA
"@brittbeuford @realDonaldTrump shouldn't we abandon the bad and hold on to good?",FALSE,0,"brittbeuford",2016-11-14 02:48:13,FALSE,"797993855249326080","797994518549172224","3635741897","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ICXFX",0,FALSE,FALSE,NA,NA
"#mymessage 
The rest is in @wattpad 
For @realDonaldTrump @notarandomgirl  :)
https://t.co/PQAVqI9ewX https://t.co/s4xZqYVBu5",FALSE,1,NA,2016-11-14 02:29:49,FALSE,NA,"797989886229934085",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","saharrazai",0,FALSE,FALSE,NA,NA
"@tresamused @Inked1BNA @JesusHCristos can he do that? Proves he has much to hide. @realDonaldTrump Transparency my ass. Fucking fraud.",FALSE,1,"tresamused",2016-11-14 02:23:35,FALSE,"797985294968586240","797988317065162752","191249730","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","trustthetruth16",2,FALSE,FALSE,NA,NA
".@realDonaldTrump More people voted for her than you. Trump = Commodus from Gladiator. He can't figure out why people don't like him.",FALSE,0,"realDonaldTrump",2016-11-14 02:22:53,FALSE,"797873313561198593","797988139885133825","25073877","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SeanMorrison",0,FALSE,FALSE,NA,NA
"@BillKristol @RickSantorum @realDonaldTrump @mike_pence @Reince Bill with the <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>",FALSE,0,"BillKristol",2016-11-14 02:20:09,FALSE,"797984465867915264","797987455223767040","2800581040","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AnthonysView",0,FALSE,FALSE,NA,NA
